iter	MAE	RMSE
0	66.56949081	88.47304526
1	64.89541039	86.4912445
2	63.34403512	84.66589753
3	61.88978004	82.97263557
4	60.5289233	81.41018954
5	59.22292039	79.98899527
6	58.06017607	78.65078036
7	56.97957832	77.41712086
8	55.98479404	76.15751208
9	55.05325509	75.09298494
10	54.16506522	74.10287957
11	53.31224273	73.19708735
12	52.54970022	72.37263213
13	51.81654128	71.60480241
14	51.17229266	70.87615524
15	50.53578716	70.0918389
16	49.94106686	69.33142833
17	49.45619788	68.76102887
18	48.97422415	68.13764219
19	48.49081098	67.52587793
20	48.04951474	67.05759329
21	47.67323446	66.61616468
22	47.2968881	66.21338638
23	46.93325862	65.73508924
24	46.5815448	65.35483992
25	46.26141394	65.01022651
26	45.91036165	64.62089531
27	45.6225741	64.31520428
28	45.32827372	63.8602157
29	45.09110221	63.52561662
30	44.82058681	63.12004093
31	44.58199039	62.76242194
32	44.3650573	62.5277515
33	44.13589756	62.17051845
34	43.92929075	61.85194772
35	43.74234548	61.5583991
36	43.55852575	61.27913111
37	43.41220233	61.10026539
38	43.26698113	60.93775029
39	43.11661411	60.76818921
40	42.95300728	60.52679361
41	42.81661387	60.31121894
42	42.69549377	60.1632548
43	42.5937076	59.99353388
44	42.47091784	59.79396469
45	42.33335159	59.61529004
46	42.21252018	59.43950641
47	42.1033687	59.31315294
48	41.98834651	59.17612533
49	41.9097956	59.07982057
50	41.82343961	58.96597607
51	41.73729985	58.86094884
52	41.64228266	58.6915906
53	41.56347993	58.60049487
54	41.49620792	58.51859402
55	41.42894647	58.440867
56	41.37073555	58.30172933
57	41.31377624	58.22914908
58	41.23304256	58.1053
59	41.1661121	57.97331067
60	41.10971796	57.90424615
61	41.05098106	57.83052075
62	40.99291045	57.72504934
63	40.94065743	57.62381765
64	40.85501559	57.51031739
65	40.78754497	57.43753904
66	40.74726161	57.38090856
67	40.70197719	57.32349298
68	40.64522164	57.22958643
69	40.58958992	57.15366963
70	40.53628961	57.06780183
71	40.49740974	57.02030409
72	40.44771614	56.95554488
73	40.40839168	56.90175547
74	40.37431087	56.81530665
75	40.34442098	56.76916538
76	40.29421015	56.70580198
77	40.25828908	56.66184945
78	40.22632944	56.58523447
79	40.16459412	56.49131933
80	40.13340016	56.45142986
81	40.08062955	56.36930548
82	40.04765628	56.29513981
83	40.01713062	56.25667911
84	39.99724504	56.22896832
85	39.96103953	56.14616584
86	39.923672	56.08329548
87	39.89099517	56.01215405
88	39.84948834	55.95588958
89	39.81995923	55.92474258
90	39.79686331	55.89165505
91	39.76251248	55.82424949
92	39.72436306	55.76567813
93	39.69319839	55.71571491
94	39.65291567	55.65577193
95	39.62043612	55.60326469
96	39.59200726	55.55561218
97	39.55460205	55.50396831
98	39.51227263	55.44978603
99	39.49015945	55.40741021
100	39.45096349	55.36278826
101	39.42807975	55.32812002
102	39.37878727	55.26221246
103	39.35284488	55.21295419
104	39.31484489	55.16418744
105	39.28439056	55.12365915
106	39.25762014	55.08054229
107	39.23902592	55.05064559
108	39.21339658	55.02012815
109	39.18890389	54.98663879
110	39.16773519	54.95172104
111	39.13538236	54.91585612
112	39.09505657	54.86000802
113	39.07383428	54.8366442
114	39.03693599	54.78834853
115	38.99860644	54.73622393
116	38.96643937	54.69138858
117	38.9445287	54.63783603
118	38.92971238	54.61403452
119	38.91409572	54.58739071
120	38.89878803	54.56229073
121	38.88086482	54.53262035
122	38.84963019	54.4868795
123	38.82693303	54.45770337
124	38.80774942	54.43525351
125	38.7831742	54.40793498
126	38.76334086	54.36605579
127	38.7264607	54.31986452
128	38.70675182	54.29749406
129	38.69214826	54.27182916
130	38.65959981	54.22578512
131	38.64295791	54.18918634
132	38.62137727	54.1598408
133	38.60576761	54.1349981
134	38.57855537	54.09815893
135	38.55506607	54.06738502
136	38.53448345	54.04046179
137	38.51926177	54.00729047
138	38.5026765	53.97528475
139	38.49003929	53.95388589
140	38.45957136	53.9100158
141	38.44475993	53.88373528
142	38.41743421	53.85482857
143	38.39709516	53.8209843
144	38.38395368	53.79678082
145	38.36890614	53.76515098
146	38.34934298	53.73193158
147	38.33615424	53.71159507
148	38.32179285	53.68773162
149	38.30817051	53.66388422
150	38.29684738	53.64535605
151	38.27990276	53.62202398
152	38.2673244	53.59886234
153	38.25547443	53.57506085
154	38.24253943	53.55645591
155	38.22871151	53.53696478
156	38.21511527	53.51646717
157	38.20674646	53.50304535
158	38.19391656	53.47984196
159	38.1734601	53.45778238
160	38.16030122	53.43518367
161	38.13576463	53.39953491
162	38.11352581	53.36975276
163	38.09422867	53.34368491
164	38.06253074	53.30800377
165	38.04395557	53.27776316
166	38.03112017	53.25881829
167	38.0163577	53.23639181
168	37.99972938	53.21426816
169	37.96787443	53.17508339
170	37.95236981	53.15460673
171	37.93187937	53.12808386
172	37.91973648	53.10983198
173	37.90812205	53.08693625
174	37.89544795	53.06733201
175	37.88063456	53.04497045
176	37.86469285	53.02284875
177	37.85112118	53.00114618
178	37.83468271	52.97587392
179	37.81691686	52.95007506
180	37.79629789	52.92386544
181	37.78311535	52.90341871
182	37.76810747	52.88151687
183	37.74486967	52.8527446
184	37.73056068	52.83139481
185	37.70674296	52.79542769
186	37.69323967	52.7729757
187	37.68486972	52.76022541
188	37.67468188	52.74395872
