iter	Passed	Remaining
0	170	85164
1	179	44757
2	189	31401
3	198	24564
4	208	20631
5	217	17944
6	227	15998
7	236	14571
8	248	13546
9	257	12635
10	267	11899
11	277	11266
12	284	10675
13	294	10210
14	303	9806
15	313	9469
16	322	9167
17	332	8893
18	340	8630
19	350	8400
20	359	8190
21	368	8015
22	379	7860
23	388	7706
24	397	7556
25	409	7456
26	420	7365
27	430	7261
28	441	7173
29	451	7068
30	459	6948
31	469	6859
32	477	6762
33	487	6678
34	497	6605
35	506	6528
36	515	6453
37	524	6375
38	533	6311
39	543	6247
40	554	6208
41	563	6147
42	572	6079
43	580	6021
44	590	5974
45	599	5918
46	609	5878
47	618	5822
48	626	5770
49	637	5735
50	647	5702
51	657	5660
52	666	5625
53	677	5598
54	685	5547
55	694	5507
56	703	5467
57	714	5442
58	722	5401
59	731	5365
60	742	5342
61	751	5307
62	760	5272
63	769	5239
64	778	5209
65	787	5178
66	795	5141
67	804	5108
68	814	5085
69	825	5069
70	834	5044
71	844	5017
72	853	4993
73	862	4965
74	871	4940
75	879	4907
76	890	4893
77	899	4864
78	908	4843
79	920	4832
80	930	4810
81	940	4795
82	951	4778
83	960	4755
84	968	4729
85	978	4708
86	987	4686
87	996	4663
88	1006	4646
89	1014	4621
90	1023	4598
91	1031	4572
92	1039	4549
93	1047	4523
94	1056	4505
95	1066	4487
96	1076	4471
97	1085	4452
98	1093	4427
99	1100	4403
100	1108	4379
101	1117	4358
102	1126	4342
103	1134	4319
104	1143	4301
105	1151	4278
106	1160	4261
107	1168	4242
108	1177	4225
109	1187	4210
110	1196	4191
111	1204	4172
112	1213	4156
113	1221	4135
114	1228	4112
115	1236	4093
116	1245	4076
117	1255	4062
118	1262	4043
119	1271	4027
120	1281	4013
121	1288	3993
122	1297	3977
123	1305	3958
124	1313	3940
125	1322	3924
126	1330	3906
127	1338	3890
128	1346	3871
129	1355	3859
130	1364	3842
131	1372	3826
132	1380	3809
133	1387	3790
134	1397	3778
135	1405	3762
136	1413	3746
137	1423	3733
138	1431	3717
139	1439	3700
140	1447	3685
141	1455	3669
142	1465	3658
143	1473	3643
144	1483	3633
145	1493	3621
146	1501	3604
147	1508	3588
148	1518	3575
149	1526	3562
150	1535	3548
151	1543	3533
152	1552	3520
153	1561	3507
154	1571	3498
155	1579	3483
156	1588	3470
157	1596	3456
158	1605	3443
159	1614	3429
160	1622	3417
161	1631	3403
162	1640	3391
163	1648	3377
164	1658	3368
165	1668	3357
166	1677	3344
167	1686	3332
168	1695	3320
169	1704	3309
170	1713	3295
171	1721	3282
172	1730	3271
173	1738	3257
174	1747	3244
175	1754	3230
176	1764	3219
177	1772	3206
